cell_id,lat,lon,horizon_hours,forecast_aqi,severity,priority_band,dominant_source,confidence,priority_score,recommended_action,evidence
819,28.65641,77.092308,72,88.8,Low,MEDIUM,Traffic/Roads,0.725,51.419999999999995,Deploy traffic police,"AQI=88.8, source=Traffic/Roads (60.6%), confidence=72%"
202,28.464103,76.830769,72,101.5,Moderate,MEDIUM,Traffic/Roads,0.536,51.416666666666664,Deploy traffic police,"AQI=101.5, source=Traffic/Roads (68.9%), confidence=54%"
1599,28.9,77.4,24,69.1,Low,MEDIUM,Traffic/Roads,0.495,51.416666666666664,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (100.0%), confidence=50%"
594,28.579487,77.323077,24,110.4,Moderate,MEDIUM,Industry,0.656,51.4,Inspect industrial units,"AQI=110.4, source=Industry (49.4%), confidence=66%"
334,28.502564,77.015385,48,100.9,Moderate,MEDIUM,Traffic/Roads,0.606,51.39666666666667,Deploy traffic police,"AQI=100.9, source=Traffic/Roads (62.3%), confidence=61%"
1598,28.9,77.384615,24,69.1,Low,MEDIUM,Traffic/Roads,0.494,51.39666666666666,Deploy traffic police,"AQI=69.1, source=Traffic/Roads (100.0%), confidence=49%"
1038,28.720513,77.384615,72,167.9,High,MEDIUM,Traffic/Roads,0.26,51.383333333333326,Deploy traffic police,"AQI=167.9, source=Traffic/Roads (41.0%), confidence=26%"
1439,28.848718,77.4,48,66.0,Low,MEDIUM,Traffic/Roads,0.519,51.38,Deploy traffic police,"AQI=66.0, source=Traffic/Roads (100.0%), confidence=52%"
430,28.528205,77.261538,48,95.5,Low,MEDIUM,Traffic/Roads,0.665,51.376666666666665,Deploy traffic police,"AQI=95.5, source=Traffic/Roads (60.8%), confidence=66%"
1014,28.720513,77.015385,72,142.4,Moderate,MEDIUM,Traffic/Roads,0.408,51.373333333333335,Deploy traffic police,"AQI=142.4, source=Traffic/Roads (47.4%), confidence=41%"
525,28.566667,76.876923,48,92.7,Low,MEDIUM,Traffic/Roads,0.607,51.370000000000005,Deploy traffic police,"AQI=92.7, source=Traffic/Roads (68.9%), confidence=61%"
729,28.630769,76.938462,48,129.4,Moderate,MEDIUM,Traffic/Roads,0.46,51.36666666666667,Deploy traffic police,"AQI=129.4, source=Traffic/Roads (53.0%), confidence=46%"
916,28.682051,77.353846,24,79.7,Low,MEDIUM,Traffic/Roads,0.737,51.36333333333333,Deploy traffic police,"AQI=79.7, source=Traffic/Roads (66.7%), confidence=74%"
1066,28.733333,77.2,72,126.6,Moderate,MEDIUM,Traffic/Roads,0.558,51.36,Deploy traffic police,"AQI=126.6, source=Traffic/Roads (45.5%), confidence=56%"
1562,28.9,76.830769,48,87.8,Low,MEDIUM,Traffic/Roads,0.527,51.35333333333333,Deploy traffic police,"AQI=87.8, source=Traffic/Roads (80.9%), confidence=53%"
787,28.64359,77.215385,24,104.6,Moderate,MEDIUM,Traffic/Roads,0.665,51.35333333333333,Deploy traffic police,"AQI=104.6, source=Traffic/Roads (53.1%), confidence=66%"
802,28.65641,76.830769,24,106.8,Moderate,MEDIUM,Traffic/Roads,0.46,51.34,Deploy traffic police,"AQI=106.8, source=Traffic/Roads (71.7%), confidence=46%"
990,28.707692,77.261538,48,74.3,Low,MEDIUM,Traffic/Roads,0.779,51.32333333333333,Deploy traffic police,"AQI=74.3, source=Traffic/Roads (66.8%), confidence=78%"
777,28.64359,77.061538,48,116.4,Moderate,MEDIUM,Traffic/Roads,0.562,51.32000000000001,Deploy traffic police,"AQI=116.4, source=Traffic/Roads (53.4%), confidence=56%"
36,28.4,77.353846,48,144.1,Moderate,MEDIUM,Traffic/Roads,0.393,51.31666666666666,Deploy traffic police,"AQI=144.1, source=Traffic/Roads (47.2%), confidence=39%"
1060,28.733333,77.107692,72,123.8,Moderate,MEDIUM,Traffic/Roads,0.523,51.31333333333333,Deploy traffic police,"AQI=123.8, source=Traffic/Roads (51.1%), confidence=52%"
793,28.64359,77.307692,24,137.7,Moderate,MEDIUM,Traffic/Roads,0.466,51.309999999999995,Deploy traffic police,"AQI=137.7, source=Traffic/Roads (45.2%), confidence=47%"
338,28.502564,77.076923,72,106.6,Moderate,MEDIUM,Industry,0.642,51.306666666666665,Inspect industrial units,"AQI=106.6, source=Industry (53.5%), confidence=64%"
110,28.425641,77.261538,24,161.1,High,MEDIUM,Construction/Dust,0.293,51.29,Dust suppression,"AQI=161.1, source=Construction/Dust (42.9%), confidence=29%"
355,28.502564,77.338462,72,110.8,Moderate,MEDIUM,Traffic/Roads,0.603,51.28666666666666,Deploy traffic police,"AQI=110.8, source=Traffic/Roads (53.8%), confidence=60%"
1066,28.733333,77.2,24,112.4,Moderate,MEDIUM,Traffic/Roads,0.585,51.27333333333333,Deploy traffic police,"AQI=112.4, source=Traffic/Roads (54.2%), confidence=58%"
939,28.694872,77.092308,24,85.5,Low,MEDIUM,Traffic/Roads,0.728,51.269999999999996,Deploy traffic police,"AQI=85.5, source=Traffic/Roads (62.3%), confidence=73%"
1343,28.823077,77.153846,48,107.8,Moderate,MEDIUM,Industry,0.602,51.266666666666666,Inspect industrial units,"AQI=107.8, source=Industry (56.3%), confidence=60%"
792,28.64359,77.292308,24,101.8,Moderate,MEDIUM,Traffic/Roads,0.67,51.266666666666666,Deploy traffic police,"AQI=101.8, source=Traffic/Roads (54.5%), confidence=67%"
13,28.4,77.0,48,100.9,Moderate,MEDIUM,Construction/Dust,0.608,51.25666666666667,Dust suppression,"AQI=100.9, source=Construction/Dust (61.4%), confidence=61%"
756,28.630769,77.353846,72,78.8,Low,MEDIUM,Traffic/Roads,0.781,51.25333333333333,Deploy traffic police,"AQI=78.8, source=Traffic/Roads (62.5%), confidence=78%"
758,28.630769,77.384615,72,88.5,Low,MEDIUM,Traffic/Roads,0.737,51.25,Deploy traffic police,"AQI=88.5, source=Traffic/Roads (58.8%), confidence=74%"
514,28.553846,77.323077,48,97.2,Low,MEDIUM,Traffic/Roads,0.668,51.24,Deploy traffic police,"AQI=97.2, source=Traffic/Roads (58.4%), confidence=67%"
734,28.630769,77.015385,48,88.3,Low,MEDIUM,Traffic/Roads,0.702,51.236666666666665,Deploy traffic police,"AQI=88.3, source=Traffic/Roads (62.4%), confidence=70%"
1036,28.720513,77.353846,72,148.5,Moderate,MEDIUM,Industry,0.359,51.230000000000004,Inspect industrial units,"AQI=148.5, source=Industry (46.5%), confidence=36%"
1561,28.9,76.815385,24,84.4,Low,MEDIUM,Traffic/Roads,0.504,51.226666666666674,Deploy traffic police,"AQI=84.4, source=Traffic/Roads (85.4%), confidence=50%"
377,28.515385,77.061538,24,139.6,Moderate,MEDIUM,Construction/Dust,0.461,51.22666666666667,Dust suppression,"AQI=139.6, source=Construction/Dust (43.7%), confidence=46%"
639,28.592308,77.4,24,62.1,Low,MEDIUM,Traffic/Roads,0.765,51.21,Deploy traffic police,"AQI=62.1, source=Traffic/Roads (77.8%), confidence=76%"
1441,28.861538,76.815385,72,117.4,Moderate,MEDIUM,Traffic/Roads,0.408,51.20666666666667,Deploy traffic police,"AQI=117.4, source=Traffic/Roads (67.4%), confidence=41%"
656,28.605128,77.046154,72,79.0,Low,MEDIUM,Traffic/Roads,0.72,51.20666666666666,Deploy traffic police,"AQI=79.0, source=Traffic/Roads (68.2%), confidence=72%"
942,28.694872,77.138462,24,91.6,Low,MEDIUM,Traffic/Roads,0.714,51.20666666666666,Deploy traffic police,"AQI=91.6, source=Traffic/Roads (58.3%), confidence=71%"
